Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests per 1M pop,Population,Continent
Paraguay,"7,81,111","19,655",N/A,N/A,7,"1,06,916","2,690","26,57,506","3,63,751","73,05,843",South America
Bahrain,"6,97,938","1,539","6,95,889",510,2,"3,91,225",863,"1,06,14,287","59,49,769","17,83,983",Asia
Sri Lanka,"6,71,831","16,814","6,54,980",37,,"31,138",779,"64,86,117","3,00,619","2,15,75,842",Asia
Kuwait,"6,62,747","2,570","6,60,095",82,,"1,51,301",587,"84,47,300","19,28,464","43,80,326",Asia
Dominican Republic,"6,50,990","4,384","6,44,785","1,821",4,"58,879",397,"37,40,928","3,38,350","1,10,56,370",North America
Myanmar,"6,33,575","19,488","6,08,147","5,940",,"11,472",353,"97,70,528","1,76,915","5,52,27,143",Asia
Cyprus,"6,25,562","1,250","6,12,987","11,325",60,"5,11,336","1,022","96,40,118","78,79,860","12,23,387",Asia
Palestine,"6,20,816","5,404","6,14,962",450,17,"1,16,137","1,011","30,78,533","5,75,907","53,45,541",Asia
Estonia,"6,11,210","2,837","5,24,990","83,383",10,"4,62,369","2,146","36,27,634","27,44,237","13,21,910",Europe
Moldova,"5,96,193","11,929","5,04,142","80,122",49,"1,48,559","2,972","32,16,305","8,01,437","40,13,171",Europe
Venezuela,"5,49,378","5,830","5,42,092","1,456",36,"18,771",199,"33,59,014","1,14,771","2,92,66,991",South America
Egypt,"5,15,645","24,613","4,42,182","48,850",122,"4,857",232,"36,93,367","34,792","10,61,56,692",Africa
Libya,"5,07,121","6,437","5,00,655",29,,"72,027",914,"24,83,446","3,52,725","70,40,745",Africa
Ethiopia,"4,96,378","7,572","4,76,062","12,744",2,"4,109",63,"53,98,600","44,686","12,08,12,698",Africa
Qatar,"4,87,321",685,"4,85,452","1,184",2,"1,63,535",230,"40,65,369","13,64,257","29,79,915",Asia
Réunion,"4,80,501",907,"4,18,572","61,022",10,"5,29,151",999,"16,03,660","17,66,027","9,08,061",Africa
Honduras,"4,62,340","11,060",N/A,N/A,105,"45,233","1,082","15,79,199","1,54,502","1,02,21,247",North America
Armenia,"4,45,881","8,712","4,35,060","2,109",,"1,50,029","2,931","32,40,491","10,90,353","29,71,966",Asia
Bosnia and Herzegovina,"4,00,842","16,220","3,78,619","6,003",,"1,23,362","4,992","18,81,275","5,78,976","32,49,317",Europe
Oman,"3,99,119","4,260","3,84,669","10,190",2,"74,966",800,"2,50,00,000","46,95,724","53,23,993",Asia
China,"3,86,276","5,241","3,43,855","37,180",329,267,4,"16,00,00,000","1,10,461","1,44,84,71,400",Asia
North Macedonia,"3,45,197","9,599","3,35,465",133,,"1,65,856","4,612","21,41,032","10,28,697","20,81,304",Europe
Kenya,"3,42,368","5,688","3,36,409",271,1,"6,090",101,"39,53,911","70,335","5,62,15,221",Africa
Zambia,"3,33,746","4,019","3,29,690",37,,"17,141",206,"37,65,147","1,93,380","1,94,70,234",Africa
Albania,"3,33,686","3,594","3,28,473","1,619",,"1,16,414","1,254","19,41,032","6,77,173","28,66,374",Europe
Botswana,"3,27,511","2,794","3,23,747",970,1,"1,34,162","1,145","20,26,898","8,30,300","24,41,162",Africa
Luxembourg,"2,97,757","1,133","2,88,991","7,633",,"4,63,528","1,764","44,12,567","68,69,188","6,42,371",Europe
Montenegro,"2,84,437","2,790","2,81,375",272,6,"4,52,961","4,443","26,75,190","42,60,196","6,27,950",Europe
Algeria,"2,71,182","6,881","1,82,622","81,679",,"5,980",152,"2,30,861","5,091","4,53,50,148",Africa
Nigeria,"2,66,381","3,155","2,59,759","3,467",11,"1,229",15,"57,08,974","26,339","21,67,46,934",Africa
Brunei,"2,61,440",225,"2,43,601","17,614",3,"5,86,937",505,"7,17,784","16,11,437","4,45,431",Asia
Zimbabwe,"2,59,981","5,637","2,53,677",667,12,"16,957",368,"25,25,756","1,64,744","1,53,31,428",Africa
Uzbekistan,"2,48,948","1,637","2,41,486","5,825",23,"7,241",48,"13,77,915","40,077","3,43,82,084",Asia
Mozambique,"2,30,918","2,229","2,28,566",123,11,"6,979",67,"13,71,127","41,437","3,30,89,461",Africa
Martinique,"2,24,826","1,076",N/A,N/A,8,"6,00,999","2,876","8,28,928","22,15,870","3,74,087",North America
Laos,"2,17,526",758,N/A,N/A,,"29,077",101,"12,33,207","1,64,845","74,81,023",Asia
Iceland,"2,07,974",229,N/A,N/A,2,"6,02,137",663,"19,96,384","57,80,036","3,45,393",Europe
Afghanistan,"2,07,190","7,845","1,84,896","14,449","1,124","5,084",192,"11,72,359","28,766","4,07,54,388",Asia
Kyrgyzstan,"2,06,557","2,991","1,96,406","7,160",131,"30,700",445,"19,07,195","2,83,460","67,28,271",Asia
El Salvador,"2,01,785","4,230","1,79,410","18,145",8,"30,805",646,"26,10,114","3,98,467","65,50,389",North America
Guadeloupe,"1,98,608",997,N/A,N/A,19,"4,96,776","2,494","9,38,039","23,46,306","3,99,794",North America
Trinidad and Tobago,"1,85,882","4,277","1,81,419",186,8,"1,32,151","3,041","8,76,417","6,23,081","14,06,585",North America
Maldives,"1,85,666",311,"1,63,687","21,668",25,"3,43,200",575,"22,13,831","40,92,223","5,40,985",Asia
Ghana,"1,71,038","1,461","1,69,573",4,2,"5,280",45,"25,23,818","77,907","3,23,95,450",Africa
Namibia,"1,70,181","4,080","1,65,940",161,,"64,612","1,549","10,62,663","4,03,460","26,33,874",Africa
Uganda,"1,69,810","3,630","1,00,431","65,749",3,"3,506",75,"30,12,408","62,198","4,84,32,863",Africa
Jamaica,"1,52,669","3,447","1,01,947","47,275",,"51,144","1,155","11,83,986","3,96,633","29,85,094",North America
Cambodia,"1,38,457","3,056","1,35,268",133,,"8,065",178,"30,91,420","1,80,062","1,71,68,639",Asia
Rwanda,"1,32,920","1,467","1,31,112",341,,"9,773",108,"58,82,479","4,32,520","1,36,00,464",Africa
Cameroon,"1,23,993","1,965","1,18,616","3,412",13,"4,442",70,"17,51,774","62,762","2,79,11,548",Africa
Malta,"1,16,177",811,"1,14,712",654,4,"2,61,640","1,826","20,96,824","47,22,226","4,44,033",Europe
Angola,"1,04,946","1,928","1,02,538",480,,"2,996",55,"14,99,795","42,818","3,50,27,343",Africa
Barbados,"1,04,944",568,"1,02,435","1,941",,"3,64,360","1,972","7,84,101","27,22,356","2,88,023",North America
Channel Islands,"98,226",210,"96,602","1,414",,"5,56,638","1,190","12,52,808","70,99,551","1,76,463",Europe
